,f1,accuracy,precision,recall,dataset,model
0,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
1,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
2,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
3,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
4,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
5,0.6451054998270495,0.6481481481481481,0.6534090909090908,0.6481481481481481,Wine,sax
6,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
7,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
8,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
9,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
10,0.5903448275862069,0.5925925925925926,0.5946704067321178,0.5925925925925926,Wine,fc
11,0.55,0.5555555555555556,0.5584415584415584,0.5555555555555556,Wine,fc
12,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
13,0.5903448275862069,0.5925925925925926,0.5946704067321178,0.5925925925925926,Wine,fc
14,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
15,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
16,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
17,0.5531034482758621,0.5555555555555556,0.5568022440392706,0.5555555555555556,Wine,fc
18,0.5903448275862069,0.5925925925925926,0.5946704067321178,0.5925925925925926,Wine,fc
19,0.55,0.5555555555555556,0.5584415584415584,0.5555555555555556,Wine,fc
20,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
21,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
22,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
23,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
24,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
25,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
26,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
27,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
28,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
29,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
30,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
31,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
32,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
33,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
34,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
35,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
36,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
37,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
38,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
39,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs1
40,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
41,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
42,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
43,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
44,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
45,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
46,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
47,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
48,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
49,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs
50,0.42777777777777776,0.4,0.6791666666666666,0.4464285714285714,Rock,sax
51,0.40680388793596334,0.38,0.6371794871794871,0.4285714285714286,Rock,sax
52,0.42777777777777776,0.4,0.6791666666666666,0.4464285714285714,Rock,sax
53,0.40680388793596334,0.38,0.6371794871794871,0.4285714285714286,Rock,sax
54,0.42777777777777776,0.4,0.6791666666666666,0.4464285714285714,Rock,sax
55,0.40680388793596334,0.38,0.6371794871794871,0.4285714285714286,Rock,sax
56,0.42777777777777776,0.4,0.6791666666666666,0.4464285714285714,Rock,sax
57,0.42777777777777776,0.4,0.6791666666666666,0.4464285714285714,Rock,sax
58,0.40680388793596334,0.38,0.6371794871794871,0.4285714285714286,Rock,sax
59,0.42777777777777776,0.4,0.6791666666666666,0.4464285714285714,Rock,sax
60,0.6082706766917293,0.6,0.5971804511278196,0.6964285714285714,Rock,fc
61,0.6249572795625427,0.64,0.6060559006211179,0.6884920634920635,Rock,fc
62,0.602051895472948,0.6,0.6104166666666666,0.6964285714285714,Rock,fc
63,0.602051895472948,0.6,0.6104166666666666,0.6964285714285714,Rock,fc
64,0.5970695970695971,0.6,0.5912698412698413,0.6666666666666667,Rock,fc
65,0.4864066193853428,0.58,0.5064102564102564,0.509920634920635,Rock,fc
66,0.5972911654833851,0.58,0.5827380952380953,0.623015873015873,Rock,fc
67,0.5577777777777778,0.58,0.5492424242424242,0.5952380952380951,Rock,fc
68,0.6945228684359119,0.68,0.70125,0.7142857142857143,Rock,fc
69,0.7169145690312739,0.7,0.7144444444444444,0.7321428571428571,Rock,fc
70,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
71,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
72,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
73,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
74,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
75,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
76,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
77,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
78,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
79,0.4524630541871921,0.6,0.5737100737100738,0.5138888888888888,Rock,xxxs_p2s
80,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
81,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
82,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
83,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
84,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
85,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
86,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
87,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
88,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
89,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs1
90,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
91,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
92,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
93,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
94,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
95,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
96,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
97,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
98,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
99,0.14788732394366197,0.42,0.105,0.25,Rock,xxxs
100,0.9733508887425938,0.9714285714285714,0.9732796964939823,0.9753401360544218,Plane,sax
101,0.9537977764364571,0.9523809523809523,0.9595164152617569,0.9517857142857143,Plane,sax
102,0.9607183035607194,0.9619047619047619,0.9691252587991718,0.955952380952381,Plane,sax
103,0.9362332112332111,0.9333333333333333,0.9360144057623049,0.9432823129251701,Plane,sax
104,0.954079760308904,0.9523809523809523,0.9529761904761905,0.9617346938775511,Plane,sax
105,0.9461018617973505,0.9428571428571428,0.9474789915966387,0.9549319727891156,Plane,sax
106,0.9271520146520146,0.9238095238095239,0.9273393567953497,0.9311224489795917,Plane,sax
107,0.9159117305458768,0.9142857142857143,0.9151622187336473,0.9194727891156462,Plane,sax
108,0.9401281796867537,0.9428571428571428,0.9518633540372671,0.9345238095238095,Plane,sax
109,0.9538966318234611,0.9523809523809523,0.9535968233447225,0.9568877551020408,Plane,sax
110,0.9731601731601732,0.9714285714285714,0.9736694677871148,0.9731442577030813,Plane,fc
111,0.9377144159099046,0.9333333333333333,0.9379551820728291,0.9459333733493398,Plane,fc
112,0.9639889680212261,0.9619047619047619,0.965266106442577,0.9642156862745098,Plane,fc
113,0.9907834101382489,0.9904761904761905,0.9910714285714286,0.9910714285714286,Plane,fc
114,0.917380404171283,0.9142857142857143,0.923249299719888,0.9233993597438975,Plane,fc
115,0.9815476190476191,0.9809523809523809,0.9815476190476191,0.9815476190476191,Plane,fc
116,0.9723490127758421,0.9714285714285714,0.9705586080586082,0.9747448979591837,Plane,fc
117,0.9367889046395658,0.9333333333333333,0.9404761904761906,0.9460034013605442,Plane,fc
118,0.9815476190476191,0.9809523809523809,0.9815476190476191,0.9815476190476191,Plane,fc
119,0.9639889680212261,0.9619047619047619,0.965266106442577,0.9642156862745098,Plane,fc
120,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
121,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
122,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
123,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
124,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
125,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
126,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
127,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
128,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
129,0.024844720496894408,0.09523809523809523,0.013605442176870748,0.14285714285714285,Plane,xxxs_p2s
130,0.8343704152639145,0.8476190476190476,0.8365665245364493,0.8541666666666666,Plane,xxxs1
131,0.8244516090317442,0.8380952380952381,0.8257060399917542,0.8422619047619048,Plane,xxxs1
132,0.8343704152639145,0.8476190476190476,0.8365665245364493,0.8541666666666666,Plane,xxxs1
133,0.8244516090317442,0.8380952380952381,0.8257060399917542,0.8422619047619048,Plane,xxxs1
134,0.8343704152639145,0.8476190476190476,0.8365665245364493,0.8541666666666666,Plane,xxxs1
135,0.8343704152639145,0.8476190476190476,0.8365665245364493,0.8541666666666666,Plane,xxxs1
136,0.8244516090317442,0.8380952380952381,0.8257060399917542,0.8422619047619048,Plane,xxxs1
137,0.8343704152639145,0.8476190476190476,0.8365665245364493,0.8541666666666666,Plane,xxxs1
138,0.8244516090317442,0.8380952380952381,0.8257060399917542,0.8422619047619048,Plane,xxxs1
139,0.8244516090317442,0.8380952380952381,0.8257060399917542,0.8422619047619048,Plane,xxxs1
140,0.8282758557968642,0.819047619047619,0.8470022458744263,0.8450980392156863,Plane,xxxs
141,0.8628851540616246,0.8571428571428571,0.8677863489893565,0.877155862344938,Plane,xxxs
142,0.8616139385046948,0.8571428571428571,0.8671679197994987,0.877155862344938,Plane,xxxs
143,0.8442820057315855,0.8380952380952381,0.8498482726423903,0.858108243297319,Plane,xxxs
144,0.8776572112098427,0.8761904761904762,0.876808905380334,0.8869197679071629,Plane,xxxs
145,0.8161873661162086,0.8095238095238095,0.8365079365079364,0.8393007202881153,Plane,xxxs
146,0.8161873661162086,0.8095238095238095,0.8365079365079364,0.8393007202881153,Plane,xxxs
147,0.8176831403789929,0.8095238095238095,0.8428571428571427,0.8404211684673869,Plane,xxxs
148,0.8617424242424242,0.8571428571428571,0.8628383171450399,0.8739095638255303,Plane,xxxs
149,0.8441508090522868,0.8380952380952381,0.8652014652014651,0.8641456582633055,Plane,xxxs
150,0.6394218868527168,0.64,0.6478901408832662,0.6446085133533862,ArrowHead,sax
151,0.6265230027220762,0.6342857142857142,0.6287703336090433,0.6281104730653541,ArrowHead,sax
152,0.6302649565852901,0.6285714285714286,0.6567312468951814,0.6364050679062984,ArrowHead,sax
153,0.7015588557589402,0.7085714285714285,0.7047243556920977,0.7025795278461398,ArrowHead,sax
154,0.6888550435918858,0.6971428571428572,0.6938164893617021,0.6900009114939385,ArrowHead,sax
155,0.5936151855047455,0.5942857142857143,0.599649448396742,0.5986692188496946,ArrowHead,sax
156,0.6979072891531747,0.7028571428571428,0.6990055784622848,0.6992070002734482,ArrowHead,sax
157,0.6126929345220976,0.6114285714285714,0.633103666745862,0.6204539239814055,ArrowHead,sax
158,0.5984131496326618,0.6,0.6052834632878493,0.6020417464223863,ArrowHead,sax
159,0.5590347923681257,0.5542857142857143,0.5993226491528436,0.5604776228238082,ArrowHead,sax
160,0.6002157900197116,0.6114285714285714,0.6715120274914089,0.616078753076292,ArrowHead,fc
161,0.5631730127829887,0.5714285714285714,0.6236702127659575,0.5735119861452921,ArrowHead,fc
162,0.6022808172076005,0.6114285714285714,0.6586153278515708,0.6102451918694741,ArrowHead,fc
163,0.5678785928785929,0.5714285714285714,0.6318656477775204,0.5720535958435876,ArrowHead,fc
164,0.5575037340087018,0.5657142857142857,0.6063120900534126,0.565764287667487,ArrowHead,fc
165,0.5871670925910282,0.6,0.6111817325800376,0.5947497949138638,ArrowHead,fc
166,0.5604261796042618,0.5657142857142857,0.6140398462979109,0.5672226779691916,ArrowHead,fc
167,0.5848724436010962,0.6,0.5967289551481268,0.5918330143104549,ArrowHead,fc
168,0.5409066552352374,0.5485714285714286,0.5801462904911181,0.5468963631391851,ArrowHead,fc
169,0.610873878536922,0.6285714285714286,0.6474897886984209,0.6247379454926625,ArrowHead,fc
170,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
171,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
172,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
173,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
174,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
175,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
176,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
177,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
178,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
179,0.1885245901639344,0.3942857142857143,0.13142857142857142,0.3333333333333333,ArrowHead,xxxs_p2s
180,0.5285225536924505,0.5428571428571428,0.5588972431077694,0.5333151034545619,ArrowHead,xxxs1
181,0.533155338341328,0.5485714285714286,0.561833541060795,0.5381460213289581,ArrowHead,xxxs1
182,0.5528628318640529,0.56,0.5640428585227194,0.5507246376811595,ArrowHead,xxxs1
183,0.5423530543530544,0.5485714285714286,0.5582358674463938,0.5396044116306626,ArrowHead,xxxs1
184,0.5035242378810595,0.5142857142857142,0.5362044817927171,0.5062437334791724,ArrowHead,xxxs1
185,0.5433776502470907,0.5485714285714286,0.557312925170068,0.5410628019323672,ArrowHead,xxxs1
186,0.5376546416546416,0.5428571428571428,0.5550391389432485,0.5347734937562665,ArrowHead,xxxs1
187,0.5236287131064103,0.5257142857142857,0.5473353194306522,0.5188223498313737,ArrowHead,xxxs1
188,0.5035242378810595,0.5142857142857142,0.5362044817927171,0.5062437334791724,ArrowHead,xxxs1
189,0.5360294117647059,0.5428571428571428,0.5461812349528731,0.5333151034545621,ArrowHead,xxxs1
190,0.6278656618462443,0.6342857142857142,0.630132485426603,0.6266520827636496,ArrowHead,xxxs
191,0.6280272439435525,0.6342857142857142,0.6309670519576179,0.6266520827636497,ArrowHead,xxxs
192,0.6280272439435525,0.6342857142857142,0.6309670519576179,0.6266520827636497,ArrowHead,xxxs
193,0.6280272439435525,0.6342857142857142,0.6309670519576179,0.6266520827636497,ArrowHead,xxxs
194,0.6215287979993862,0.6285714285714286,0.6239127667699097,0.620362774587549,ArrowHead,xxxs
195,0.6278656618462443,0.6342857142857142,0.630132485426603,0.6266520827636496,ArrowHead,xxxs
196,0.6280272439435525,0.6342857142857142,0.6309670519576179,0.6266520827636497,ArrowHead,xxxs
197,0.6280272439435525,0.6342857142857142,0.6309670519576179,0.6266520827636497,ArrowHead,xxxs
198,0.6215287979993862,0.6285714285714286,0.6239127667699097,0.620362774587549,ArrowHead,xxxs
199,0.6280272439435525,0.6342857142857142,0.6309670519576179,0.6266520827636497,ArrowHead,xxxs
200,0.7537439497771601,0.7547495682210709,0.7589798796112384,0.7547495682210708,p2s,sax
201,0.7474070048535502,0.7487046632124352,0.7539226196277166,0.7487046632124352,p2s,sax
202,0.7595592451698743,0.7607944732297064,0.766266080304064,0.7607944732297064,p2s,sax
203,0.762566412739273,0.7633851468048359,0.7670688440098361,0.7633851468048358,p2s,sax
204,0.7801782895680872,0.7806563039723662,0.7831189347777026,0.7806563039723662,p2s,sax
205,0.7677177141214793,0.768566493955095,0.7725501829927257,0.7685664939550949,p2s,sax
206,0.758599124452783,0.7590673575129534,0.7610930735930737,0.7590673575129534,p2s,sax
207,0.7534522620750457,0.7547495682210709,0.7602267014031721,0.7547495682210708,p2s,sax
208,0.7544704032222416,0.7556131260794473,0.7604620060790274,0.7556131260794474,p2s,sax
209,0.7517160103995177,0.7530224525043178,0.7584624525800996,0.7530224525043179,p2s,sax
210,0.8333332090445449,0.8333333333333334,0.8333343276458657,0.8333333333333333,p2s,fc
211,0.8221049585815408,0.8221070811744386,0.8221224550674919,0.8221070811744386,p2s,fc
212,0.8298779601105182,0.8298791018998273,0.8298879581901489,0.8298791018998273,p2s,fc
213,0.8582073282543058,0.8583765112262521,0.860095132192986,0.8583765112262522,p2s,fc
214,0.8073747410680119,0.8074265975820379,0.8077580028666985,0.807426597582038,p2s,fc
215,0.8091023218656082,0.809153713298791,0.8094869804108935,0.809153713298791,p2s,fc
216,0.8264247410256659,0.8264248704663213,0.8264258441713399,0.8264248704663213,p2s,fc
217,0.8476315789473684,0.8480138169257341,0.8515413843080418,0.8480138169257341,p2s,fc
218,0.7855555555555556,0.7858376511226253,0.7873496522998588,0.7858376511226253,p2s,fc
219,0.7950799046952735,0.7953367875647669,0.7968251588919535,0.7953367875647668,p2s,fc
220,0.9131194180351483,0.9136442141623489,0.9238860307940613,0.9136442141623489,p2s,xxxs_p2s
221,0.9113575984990618,0.9119170984455959,0.9225863509365715,0.9119170984455959,p2s,xxxs_p2s
222,0.9113575984990618,0.9119170984455959,0.9225863509365715,0.9119170984455959,p2s,xxxs_p2s
223,0.9113575984990618,0.9119170984455959,0.9225863509365715,0.9119170984455959,p2s,xxxs_p2s
224,0.9122386944232049,0.9127806563039723,0.9232352581355517,0.9127806563039724,p2s,xxxs_p2s
225,0.9131194180351483,0.9136442141623489,0.9238860307940613,0.9136442141623489,p2s,xxxs_p2s
226,0.9095942732229936,0.9101899827288429,0.9212940978232564,0.9101899827288429,p2s,xxxs_p2s
227,0.9131194180351483,0.9136442141623489,0.9238860307940613,0.9136442141623489,p2s,xxxs_p2s
228,0.9104761261413404,0.9110535405872193,0.9219393004115226,0.9110535405872193,p2s,xxxs_p2s
229,0.9113575984990618,0.9119170984455959,0.9225863509365715,0.9119170984455959,p2s,xxxs_p2s
230,0.8773451485857501,0.8773747841105354,0.8777398579349511,0.8773747841105355,p2s,xxxs1
231,0.8324652777777778,0.8324697754749568,0.8325054817201414,0.8324697754749568,p2s,xxxs1
232,0.8825337060717173,0.8825561312607945,0.8828484857530934,0.8825561312607945,p2s,xxxs1
233,0.846220646559056,0.846286701208981,0.8468827035991215,0.846286701208981,p2s,xxxs1
234,0.8720556617295747,0.8721934369602763,0.8738035392768659,0.8721934369602764,p2s,xxxs1
235,0.8557676602314299,0.8557858376511226,0.855965285073059,0.8557858376511227,p2s,xxxs1
236,0.8747817760539442,0.8747841105354058,0.8748120614767791,0.874784110535406,p2s,xxxs1
237,0.8531842155505704,0.853195164075993,0.8533005511113233,0.8531951640759932,p2s,xxxs1
238,0.8591744327367927,0.8592400690846287,0.8599110622325292,0.8592400690846287,p2s,xxxs1
239,0.8773744183271686,0.8773747841105354,0.8773792868925566,0.8773747841105355,p2s,xxxs1
240,0.949892120788906,0.9499136442141624,0.95068800143427,0.9499136442141624,p2s,xxxs
241,0.9559466896612943,0.9559585492227979,0.956450071667463,0.955958549222798,p2s,xxxs
242,0.9619812264024236,0.9620034542314335,0.9630864356255064,0.9620034542314335,p2s,xxxs
243,0.8995924737709182,0.8998272884283247,0.9036027762304091,0.8998272884283247,p2s,xxxs
244,0.8987516393840773,0.8989637305699482,0.9023349136063916,0.8989637305699482,p2s,xxxs
245,0.948184055485122,0.9481865284974094,0.948272106976314,0.9481865284974094,p2s,xxxs
246,0.9680397552444684,0.968048359240069,0.9685529144768275,0.968048359240069,p2s,xxxs
247,0.8767867258520385,0.8773747841105354,0.8847193628531722,0.8773747841105354,p2s,xxxs
248,0.873375135186955,0.8739205526770294,0.8804759230874296,0.8739205526770293,p2s,xxxs
249,0.9602705315162653,0.9602763385146805,0.9605455983524601,0.9602763385146805,p2s,xxxs
